toi,toipfx,pl_pnum,ra,dec,st_pmra,st_pmraerr1,st_pmdec,pl_orbper,pl_orbpererr1,pl_trandurh,pl_trandurherr1,pl_trandep,pl_trandeperr1,pl_rade,pl_radeerr1,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_dist,st_disterr1,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_rad,st_raderr1,st_logg_missing,st_teff_missing,tfopwg_disp_CP,tfopwg_disp_FA,tfopwg_disp_FP,tfopwg_disp_KP,tfopwg_disp_PC,rastr_01h34m22.42s,rastr_03h41m50.17s,rastr_10h06m26.93s,decstr_-30d27m14.82s
1026.01,1026,1,125.434634,-51.759442,47.228,0.047,-6.325,14.2628757,3.85e-05,6.9350494,0.466316,913.2067174,37.2772746,2.4765813,0.1510812,153.2069421,980.3628831,9.9138,0.006,105.677,0.2575,5690.0,129.0,-129.0,4.58,0.08,0.853898,0.0413895,0,0,False,False,True,False,False,False,False,False,False
1027.01,1027,1,167.133275,-29.653135,-87.554,0.073,12.992,3.2834565,4.6e-06,1.537,0.709,1558.0,185.42,2.87648,0.314177,161.092,992.0,10.2103,0.006,56.3449,0.13245,4272.0,122.7,-122.7,4.6,0.11,0.68,0.06,0,0,False,False,False,False,True,False,False,False,False
1027.02,1027,2,167.133275,-29.653135,-87.554,0.073,12.992,11.02875,3.54e-05,2.715,0.404,1694.0,104.432,2.76586,0.268927,15.0463,548.0,10.2103,0.006,56.3449,0.13245,4272.0,122.7,-122.7,4.6,0.11,0.68,0.06,0,0,False,False,False,False,True,False,False,False,False
1027.03,1027,3,167.133275,-29.653135,-87.554,0.073,12.992,5.0113292,1.2e-05,1.024,0.471,1210.0,182.035,2.52314,0.302798,17.1793,567.0,10.2103,0.006,56.3449,0.13245,4272.0,122.7,-122.7,4.6,0.11,0.68,0.06,0,0,False,False,False,False,True,False,False,False,False
1028.01,1028,1,157.098337,-51.705409,30.65,0.054,-33.906,1.01606,0.00034,2.843,0.278,240.0,0.375709,1.20704,0.0989898,2784.04,2023.0,7.9059,0.006,23.7748,0.02025,4634.0,120.9,-120.9,4.64,0.09,0.68,0.05,0,0,False,False,True,False,False,False,False,False,False
1029.01,1029,1,88.73909,-65.958839,-1.574,0.051,-3.469,36.22214,0.00046,5.107,0.188,7170.0,228.173,10.5468,0.7174066,363.901,1183.0137325,6.841,0.0,365.00800000000004,4.31375,5800.55,-999.0,-999.0,4.33,-999.0,1.23434,0.06,1,1,False,False,True,False,False,False,False,False,False
103.01,103,1,312.457488,-24.428694,10.426,0.07,15.62,3.547854,0.000149,3.494333,0.049205,10424.3718,123.359314,14.581841,0.196435,1212.004376,1504.858953,11.5232,0.008,411.211,7.752,6351.0,-999.0,-999.0,4.22896,-999.0,1.4,0.06,0,0,False,False,False,True,False,False,False,False,False
1030.01,1030,1,155.831478,-57.590248,-26.184,2.184,22.489,12.1246519,1.03e-05,4.612,0.667,7279.0,6484.95,17.6729,2.59688,207.32,1057.0,9.5706,0.006,78.41273,2.83992,4807.6,60.0,-60.0,4.17,0.36,1.07,0.03,0,0,False,False,True,False,False,False,False,False,False
1031.01,1031,1,140.88389,-67.026006,-23.901,0.042,3.03,5.652623,2.54e-05,3.434,0.475,1250.0,26.0133,8.94354,1.13988,2717.06,2011.0,9.7318,0.006,270.771,1.6275,6415.4,103.2,-103.2,3.98,0.08,1.92,0.08,0,0,False,False,True,False,False,False,False,False,False
1032.01,1032,1,159.221506,-42.541639,-15.15,0.072,6.437,5.6643704,1.09e-05,3.8087395,0.0887935,3491.823297,95.25267,14.7738943,0.7471176,7657.662151,2385.853649,9.7611,0.006,587.196,18.7865,10395.0,320.6,-320.6,4.13,0.07,2.3383701,0.109357,0,0,False,False,False,False,True,False,False,False,False
1033.01,1033,1,87.282586,-60.498444,8.9,3.1,20.7,29.0160175,6.47e-05,5.345,0.314,1389.0,36.0326,6.77406,0.7174066,33.2234,1183.0137325,10.0163,0.006,219.94,4.31375,6113.1,-999.0,-999.0,4.33,-999.0,2.01,0.06,1,0,False,False,True,False,False,False,False,False,False
1034.01,1034,1,134.441752,-49.000578,-4.837,0.063,4.109,3.6404389,8.2e-06,2.5339234,0.5744699,476.3077321,35.1115139,3.7025342,0.1738907,9941.226551,2783.098027,9.8174,0.006,363.44,4.983,9810.0,173.7,-173.7,4.43,0.06,1.60776,0.0427739,0,0,False,False,True,False,False,False,False,False,False
1035.01,1035,1,144.150273,-61.583182,-9.506,0.239,16.897,6.0744477,5.9e-06,2.4954821,0.0518881,5982.521241,93.93912,30.9493217,11.697444,1487.564434,1583.93989,10.1126,0.006,347.556,13.63,5964.0,128.4,-128.4,3.7,0.09,2.4303801,0.151568,0,0,False,False,False,False,True,False,False,False,False
1036.01,1036,1,157.867112,-42.240448,10.992,0.037,-57.748,3.7795212,4e-06,2.952,0.158,2761.0,60.2474,5.98375,0.311897,466.528,1294.0,10.2855,0.006,184.015,0.962,5771.0,132.3,-132.3,4.31,0.08,1.18,0.06,0,0,False,False,False,False,True,False,False,False,False
1037.01,1037,1,147.385172,-63.306478,-19.687,0.07,10.953,1.2025238,6.7e-06,1.991,0.052,390.0,107.57,6.31106,1.99504,208477.0,5952.0,9.0211,0.006,279.698,3.279,9158.0,171.4,-171.4,4.32,0.07,1.74,0.05,0,0,False,False,True,False,False,False,False,False,False
1038.01,1038,1,128.454638,-49.940347,-15.5,1.6,7.0,3.2235985,1.38e-05,2.159,0.452,680.0,1.13,5.51341,0.7174066,2064.8,1183.0137325,8.7157,0.006,280.765,4.31375,8904.0,239.9,-239.9,4.09,1.36,2.17,0.06,0,0,False,False,True,False,False,False,False,False,False
1039.01,1039,1,149.688545,-58.760453,-6.434,0.215,4.098,4.420125,8.5e-06,3.956,1.259,2466.0,196.3,10.5468,0.7174066,363.901,1183.0137325,8.5483,0.6,2864.34,1012.54,5800.55,-999.0,-999.0,4.33,-999.0,1.23434,0.06,1,1,False,False,False,False,False,False,False,False,False
104.01,104,1,319.949697,-58.148933,10.552,0.045,-10.658,4.0872956,2.3e-06,5.586113,0.0508755,3572.17125,35.689426,13.6237732,0.6518233,2242.36054,1755.076738,9.8638,0.006,316.678,2.9655,6036.0,-999.0,-999.0,3.93359,-999.0,2.2186699,0.102573,0,0,False,False,False,True,False,False,False,False,False
1040.01,1040,1,128.61421,-61.488262,-11.78,0.118,6.725,2.55555,0.00045,1.566,0.375,340.0,1.37224,11.5901,0.7174066,3520.68,2145.0,8.3854,0.007,732.432,32.449,10037.0,123.0,-123.0,4.33,-999.0,6.04,0.06,1,0,False,False,True,False,False,False,False,False,False
1041.01,1041,1,138.402252,-55.19791,-14.189,0.065,14.261,8.30792,0.00037,3.228,0.089,8350.0,160.238,43.1068,4.42399,2276.25,1924.0,8.0981,0.006,305.034,2.981,9081.0,173.2,-173.2,3.83,0.07,3.05,0.09,0,0,False,False,True,False,False,False,False,False,False
1042.01,1042,1,141.975215,-61.33004,-11.595,0.056,3.139,0.758082,7.3e-06,1.8184632,0.1306038,583.93181,58.10249,10.1273702,0.6658212,216218.1005,5499.747633,9.718,0.006,792.633,19.4965,9917.0,199.6,-199.6,3.75,0.06,3.5086601,0.120121,0,0,False,False,False,False,True,False,False,False,False
1043.01,1043,1,128.302319,-52.714202,-9.496,0.051,14.659,1.4415577,7.4e-06,2.349,0.682,507.0,54.9645,3.61078,0.26004,16861.8,3174.0,9.5719,0.006,208.055,1.1015,6902.0,135.7,-135.7,4.25,0.09,1.52,0.06,0,0,False,False,True,False,False,False,False,False,False
1044.01,1044,1,153.811023,-58.766393,-14.441,0.073,6.214,1.0085089,9e-07,1.642,0.343,3051.0,688.931,10.5468,0.7174066,363.901,1183.0137325,10.0031,0.006,494.689,9.557,5215.2,1166.8,-1166.8,4.33,-999.0,1.23434,0.06,1,0,False,False,False,False,True,False,False,False,False
1045.01,1045,1,159.887704,-32.51188,-34.609,0.053,14.667,3.7039994,3.7e-06,4.277,0.599,7590.0,1.22092,17.57,0.746573,3546.13,2149.0,9.6306,0.006,300.696,3.3695,7013.8,299.6,-299.6,4.21,0.44,1.9,0.08,0,0,False,False,True,False,False,False,False,False,False
1046.01,1046,1,126.419468,-60.907514,-1.536,0.058,-9.979,1.3042553,2e-06,1.706,0.213,914.0,628.954,9.36472,1.30647,26944.7,3569.0,10.0119,0.006,301.298,2.496,6762.0,130.2,-130.2,4.11,0.08,1.75,0.07,0,0,False,False,True,False,False,False,False,False,False
