koi_disposition,koi_period,koi_prad,koi_sma,koi_teq,koi_impact,koi_duration,koi_depth,koi_slogg,koi_srad,koi_kepmag,koi_smass,planet_star_radius_ratio,transit_depth,koi_max_sngle_ev,koi_max_mult_ev,kepoi_name,kepler_name,koi_dor,koi_parm_prov,koi_ror,koi_srho,koi_fittype,koi_datalink_dvr,koi_period_err1,koi_period_err2,koi_depth_err1,koi_depth_err2,koi_ror_err1,koi_ror_err2,koi_num_transits,detection_confidence,period_precision,depth_precision,is_grazing_transit,planets_in_system,is_multi_planet_system,physical_realism_score,detection_quality_score
CONFIRMED,5.3495536,2.55,0.0563,919.0,0.092,3.0278,831.0,4.44,0.91,15.416,0.831,0.025684673,659.7024167101879,6.0370364,48.504196,K00749.01,Kepler-226 c,13.8015,q1_q17_dr25_koi,0.025706,1.73782,LS+MCMC,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,8.83e-06,-8.83e-06,14.8,-14.8,0.000845,-0.000453,247.0,27.2706162,605838.4597961495,56.148648648648646,0,2747.0,1,2.0,6.190700482591814
CONFIRMED,3.9410522,1.7,0.046,1018.0,0.226,2.5984,363.0,4.44,0.91,15.416,0.831,0.017123114,293.20107409341693,4.5118856,22.749151,K00749.02,Kepler-226 b,11.51,q1_q17_dr25_koi,0.017105,1.85636,LS+MCMC,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,1.09e-05,-1.09e-05,13.9,-13.9,0.000703,-0.000557,322.0,13.6305183,361564.4220183486,26.115107913669064,0,2747.0,1,3.0,6.243966612236301
CONFIRMED,8.109048,1.3,0.0743,800.0,0.025,3.596,217.0,4.44,0.91,15.416,0.831,0.013094147,171.4566834663926,4.434382,9.776852,K00749.03,Kepler-226 d,17.46,q1_q17_dr25_koi,0.013127,1.5302,LS+MCMC,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,6.79e-05,-6.79e-05,16.8,-16.8,0.00087,-0.000503,141.0,7.1056170000000005,119426.33284241532,12.916666666666666,0,2747.0,1,4.0,5.290191943864136
FALSE POSITIVE,386.60306,41.5,1.0719,297.0,0.9765,6.8057,24900.0,4.081,1.58,12.394,1.103,0.24074998,57960.55272352084,-999.0,-999.0,K00113.01,UNVETTED,332.0,q1_q16_koi,0.240528,4.63335,MCMC,002/002306/002306756/dv/kplr002306756-20130815195353_dvr.pdf,0.000137,-0.000137,45.8,-45.8,0.0353,-0.0198,-999.0,-999.0,2821920.1459854017,543.6681222707424,1,1.0,0,2.0,
CONFIRMED,21.676992,2.95,0.1408,530.0,0.896,3.4555,857.0,4.5,0.828,15.377,0.791,0.032656297,1066.4336916475272,5.911944,24.54073,K00750.01,Kepler-662 b,24.6,q1_q17_dr25_koi,0.032666,0.60007,LS+MCMC,010/010662/010662202/dv/kplr010662202-20160209194854_dvr.pdf,7.01e-05,-7.01e-05,27.1,-27.1,2.1e-05,-0.00574,62.0,15.226337000000001,309229.5577746077,31.62361623616236,0,2747.0,1,3.0,4.643901741444143
CONFIRMED,4.9967794,2.78,0.0559,917.0,0.71,2.1717,935.0,4.552,0.847,15.861,0.931,0.030084074,905.051453112266,4.132564,24.283327,K00751.01,Kepler-663 b,13.14,q1_q17_dr25_koi,0.030014,1.71827,LS+MCMC,010/010682/010682541/dv/kplr010682541-20160209194854_dvr.pdf,1.39e-05,-1.39e-05,39.7,-39.7,0.0046,-0.00244,208.0,14.207945500000001,359480.5323741007,23.551637279596974,0,2747.0,1,2.0,5.804491561329813
CONFIRMED,4.2809634,2.3,0.0503,1012.0,0.424,2.875,751.0,4.564,0.831,15.356,0.928,0.025368925,643.5823471253607,6.7006826,52.913242,K00769.01,Kepler-671 b,10.64,q1_q17_dr25_koi,0.025377,1.24482,LS+MCMC,011/011460/011460018/dv/kplr011460018-20160209194854_dvr.pdf,6.14e-06,-6.14e-06,14.1,-14.1,0.000141,-0.000935,311.0,29.8069623,697225.3094462542,53.262411347517734,0,2747.0,1,2.0,6.440455985494851
FALSE POSITIVE,1.5063541,4.53,0.025,1452.0,0.86,1.5155,2210.0,4.563,0.831,15.525,0.926,0.04996575,2496.5763680765253,9.787732,130.6654,K00770.01,UNVETTED,4.67,q1_q17_dr25_koi,0.049899,0.84722,LS+MCMC,011/011463/011463211/dv/kplr011463211-20160209194854_dvr.pdf,4.7e-07,-4.7e-07,18.3,-18.3,0.002,-0.00422,882.0,70.226566,3205008.723404255,120.76502732240436,0,1.0,0,1.0,7.965800178808514
FALSE POSITIVE,670.6455,14.14,1.5155,196.0,0.701,53.412,18100.0,4.466,0.983,15.207,1.03,0.13184726,17383.702544169097,70.64302,96.96236,K00771.01,UNVETTED,85.24,q1_q17_dr25_koi,0.131705,0.02605,LS+MCMC,011/011465/011465813/dv/kplr011465813-20160209194854_dvr.pdf,0.00124,-0.00124,33.5,-33.5,0.000242,-0.000326,3.0,83.80269000000001,540843.1451612903,540.2985074626865,0,1.0,0,0.0,2.8537183507678043
FALSE POSITIVE,61.256363,39.87,0.3137,505.0,1.248,7.633,5120.0,4.402,1.091,15.25,1.093,0.33496293,112200.15812358832,31.079844,73.10389,K00772.01,UNVETTED,29.1,q1_q17_dr25_koi,0.334628,0.12411,LS+MCMC,011/011493/011493732/dv/kplr011493732-20160209194854_dvr.pdf,0.000156,-0.000156,70.6,-70.6,6.82,-0.0624,13.0,52.09186700000001,392668.9935897436,72.52124645892351,1,1.0,0,2.0,3.589733442806777
CONFIRMED,38.37755,2.82,0.2163,529.0,0.468,5.588,724.0,4.369,1.036,15.172,0.915,0.024949659,622.4854499626279,10.352898,31.946487,K00773.01,Kepler-672 b,47.8,q1_q17_dr25_koi,0.024901,1.40588,LS+MCMC,011/011507/011507101/dv/kplr011507101-20160209194854_dvr.pdf,0.00016,-0.00016,23.4,-23.4,0.000184,-0.00127,37.0,21.1496925,239859.68749999997,30.94017094017094,0,2747.0,1,3.0,4.1954695341951584
CONFIRMED,41.197254,3.86,0.217,439.0,0.045,4.6297,2210.0,4.485,0.848,15.841,0.801,0.041722152,1740.737974588061,11.918161,37.877567,K00757.02,Kepler-229 d,70.75,q1_q17_dr25_koi,0.041693,3.9471,LS+MCMC,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,9.35e-05,-9.35e-05,45.5,-45.5,0.00118,-0.000613,26.0,24.897864,440612.34224598936,48.57142857142857,0,2747.0,1,3.0,3.9351569690934833
CONFIRMED,6.252962,2.65,0.0617,823.0,0.105,2.5819,1040.0,4.485,0.848,15.841,0.801,0.028643446,820.4470204934803,5.834264,35.96252,K00757.03,Kepler-229 b,18.94,q1_q17_dr25_koi,0.028604,3.28707,LS+MCMC,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,9.58e-06,-9.58e-06,24.5,-24.5,0.00103,-0.000484,167.0,20.898391999999998,652710.0208768267,42.44897959183673,0,2747.0,1,2.0,5.710106636081544
CONFIRMED,16.013084,3.1,0.1148,593.0,0.799,3.2554,1120.0,4.499,0.826,15.39,0.785,0.03439988,1183.3515714679927,8.468995,31.066507,K00758.01,Kepler-665 b,24.7,q1_q17_dr25_koi,0.034369,1.10942,LS+MCMC,010/010987/010987985/dv/kplr010987985-20160209194854_dvr.pdf,4.85e-05,-4.85e-05,39.4,-39.4,0.00317,-0.00437,65.0,19.767751,330166.6804123711,28.426395939086294,0,2747.0,1,3.0,4.7255214612866
CONFIRMED,32.628765,3.36,0.1889,506.0,0.021,4.7971,1800.0,4.56,0.798,15.082,0.844,0.038593274,1489.4408846277206,14.0889,61.372303,K00759.01,Kepler-230 b,53.95,q1_q17_dr25_koi,0.03852,2.79093,LS+MCMC,011/011018/011018648/dv/kplr011018648-20160209194854_dvr.pdf,5.8e-05,-5.8e-05,25.4,-25.4,0.000971,-0.000365,34.0,37.7306015,562564.9137931034,70.86614173228347,0,2747.0,1,3.0,4.3601346010952415
