pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_masse,pl_dens,st_teff,st_logg,st_mass,st_rad,st_lum,sy_dist,sy_vmag,sy_kmag,pl_st_radius_ratio,pl_st_mass_ratio,pl_eqt,pl_escape_velocity,pl_stellar_flux,pl_hill_radius,pl_transit_probability,disposition,default_flag,tran_flag,ttv_flag,pl_controv_flag,discoverymethod
K2-231 b,K2-231,13.841901,0.0979533069876817,0.2000575518892151,88.6,2.5,54.068517321605846,20.77328477414467,5695.0,4.48,1.01,0.95,1.0354396902316472,321.215,12.768,10.859,0.0241207969511312,0.0001607863901862,782.2650286099752,52.01952974308325,8.587697513017874,0.0036931344008453,0.0451025762770376,CONFIRMED,1,1,0,0,Transit
K2-232 b,K2-232,11.168459000000002,0.0991,0.255,89.61,11.859122,123.00020999999995,0.405,5888.0,4.273,1.039,1.233,0.2164299999999999,130.72,9.822,8.434,0.0881586050581213,0.0003555629524086,916.0526768028644,36.02391041995451,1.7537201276360557,0.0048678673762039,0.0578610445005045,CONFIRMED,0,1,0,0,Transit
K2-232 b,K2-232,11.168403700000002,0.1014212964416158,0.2579460136336798,89.27242836294398,12.77,341.04209759108176,0.9031854420462708,5981.0,4.31,1.0868885691390406,1.22,0.6310987243222925,130.72,9.822,8.434,0.0959414584303767,0.0009424301420467,914.9493956454083,57.80597659877619,4.882352399901213,0.0068945373516341,0.0559406515106622,CONFIRMED,0,1,0,0,Transit
K2-232 b,K2-232,11.168442329999998,0.0924685984335802,0.26,89.14,3.952528555205605,23.47122490645296,2.8398477360961696,6154.0,4.379,1.188,1.161,0.23805,130.72,9.822,8.434,0.0312045587553762,5.9339722723595104e-05,961.7991745519108,27.258036287946968,2.2154898863031875,0.0025007428031566,0.0583895047774322,CONFIRMED,0,1,0,0,Transit
K2-232 b,K2-232,11.168454000000002,0.10356,0.258,89.14,11.209,126.49633999999998,0.4952723857221628,6154.0,4.379,1.188,1.161,0.23805,130.72,9.822,8.434,0.0884931997843131,0.0003198068175421,908.835989598662,37.57679550887609,1.7663397328486388,0.0049103697547845,0.0521359180185399,CONFIRMED,1,1,0,0,Transit
K2-233 b,K2-233,2.4675829999999994,0.03293,0.0,88.86,1.315,2.4,5.700000000000001,4796.0,4.53,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.016976284840113,9.124526750717244e-06,982.2463398062272,15.111477902653547,32.15892286977758,0.0004771131963074,0.1002682569085939,CONFIRMED,1,1,0,0,Transit
K2-233 b,K2-233,2.4674599999999995,0.03317,0.0,88.79,1.398,3.464502396611045,6.42697730003625,4950.0,4.71,0.8,0.745,1e-06,67.5062,10.883,8.375,0.0171999089561328,1.300699811910582e-05,1034.7097353172594,17.60885200141781,7.232679037074945e-05,0.0005408756279618,0.1044498085619535,CONFIRMED,0,1,0,0,Transit
K2-233 b,K2-233,2.4675,0.03308,0.079,89.3,1.343,11.259999999999998,26.26,5033.0,4.64,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.0173377570648455,4.28092380054484e-05,1028.445518453075,32.3888393126725,31.86793727880699,0.0008023630400026,0.0998135943168077,CONFIRMED,0,1,0,0,Transit
K2-233 c,K2-233,7.060049999999999,0.06666,0.2002,89.6,1.2809999999999997,12.81,33.910000000000004,5033.0,4.64,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.0165373542815094,4.870216153195328e-05,724.4883158783666,35.37237299957991,7.847915835744577,0.0016878776791393,0.0495324587458745,CONFIRMED,0,1,0,0,Transit
K2-233 c,K2-233,7.060240000000002,0.0664,0.0,89.57,1.2720000000000002,4.6,12.400000000000006,4796.0,4.53,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.0164211667807025,1.748867627220805e-05,691.723045366678,21.271570534583063,7.909495745085347,0.0011950332087123,0.0497264111445783,CONFIRMED,1,1,0,0,Transit
K2-233 c,K2-233,7.061419999999998,0.06687,0.0,88.95,1.335,6.88463727442562,16.28471742717177,4950.0,4.71,0.8,0.745,1e-06,67.5062,10.883,8.375,0.0164248057628307,2.5847424486349213e-05,728.7450359025769,25.40177676501728,1.779620867568534e-05,0.0013708712338633,0.0518109787647674,CONFIRMED,0,1,0,0,Transit
K2-233 d,K2-233,24.36543,0.1521848984346,0.00084752625823,89.35,3.952528555205605,23.47122490645296,2.8398477360961696,4950.0,4.71,0.8,0.745,1e-06,67.5062,10.883,8.375,0.0486288492818681,8.811948824453873e-05,483.06491033423487,27.258036287946968,3.4359514481553e-06,0.0046955715505448,0.0227657289628437,CONFIRMED,0,1,0,0,Transit
K2-233 d,K2-233,24.364500000000003,0.15224,0.1999,89.6,2.3580000000000005,21.14,8.850000000000001,5033.0,4.64,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.0304411252113967,8.037187312923438e-05,479.4017917245318,33.49228568912234,1.50462199071944,0.0045553636682137,0.0216883453757225,CONFIRMED,0,1,0,0,Transit
K2-233 d,K2-233,24.3681,0.1516,0.18,89.62,2.363,10.3,4.3,4796.0,4.53,0.79,0.71,0.4382226487318861,67.5062,10.883,8.375,0.030505673822956,3.915942730516151e-05,457.7904028578127,23.35344460352239,1.5173527387832988,0.0035694740333877,0.0217799056728232,CONFIRMED,1,1,0,0,Transit
K2-233 d,K2-233,24.366200000000003,0.1526999999999999,0.0,89.35,2.640000000000001,42.88574232766502,13.539159392186544,4950.0,4.71,0.8,0.745,1e-06,67.5062,10.883,8.375,0.0324805147669461,0.0001610086257518,482.24946276358537,45.08361147966376,3.412809616638456e-06,0.0057599007475415,0.0226889335297969,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.1805338,0.0355499566078894,0.0318409312300598,86.64716745653912,3.952528555205605,23.47122490645296,2.8398477360961696,5131.102788822485,4.449136695340412,0.8730237706945766,1.1759922638100155,0.4869706262237895,314.995,11.602,10.217,0.0308067440831775,8.07487641940663e-05,1301.6713479334096,27.258036287946968,30.66300767156848,0.0010653949115611,0.1538375082535789,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.18053539,0.0355799999999999,0.042,88.03,16.19697711,433.2001186999999,0.562,6360.0,4.339,1.263,1.261,0.37107,314.995,11.602,10.217,0.117731894143635,0.0010301759687512,1670.0121190860432,57.848419143137846,23.32566815090775,0.0024915484135892,0.164818512366498,CONFIRMED,0,1,0,0,Transit
K2-237 b,K2-237,2.1805577,0.0352999999999999,0.0,84.6,18.405178,392.83788000000015,0.3699999999999999,6099.0,4.27,1.23,1.38,2.0638013397072563,314.995,11.602,10.217,0.1222464299472628,0.0009592558260015,1681.9719915591058,51.67742487776353,131.79793785925816,0.0024138619873291,0.1818030764872522,CONFIRMED,0,1,0,0,Transit
